Name,Address,City,Province,Postal
Aamjiwnaang - Maawn Doosh Gumig Community and Youth Centre ,1972 Virgil Ave.,Sarnia,ON,          
Aamjiwnaang Chipadome Baseball Field,369 Plain Ln,Sarnia,ON,N7T7H5    
Alvinston North Diamond,3310 Walnut Street,Alvinston,ON,          
Alvinston South Diamond,3310 Walnut Street,Alvinston,ON,          
Blackwell North,6320 Blackwell Sd Rd,Sarnia,ON,N7T1R7    
Blackwell Park,6320 Blackwell Sd Rd,Sarnia,On,          
Cameron Park,224 Cameron Street,Corunna,ON,          
Canton Park,598 Erie Street,Wyoming,ON,          
Chippewa Diamond #1,1004 Tashmoo Ave,Sarnia,ON,          
Chippewa Diamond #2,1004 Tashmoo Ave,Sarnia,ON,          
Clearwater Diamond #1,1400 Wellington Street,Sarnia,On,          
Clearwater Diamond #2,1400 Wellington Street,Sarnia,ON,          
Clearwater Diamond #3,1400 Wellington Street,Sarnia,ON,          
Clearwater Diamond #4,1400 Wellington Street,Sarnia,ON,          
Coronation Park Diamond,60 Aberdeen Ave,Sarnia,ON,          
Errol Road Public School,989 Errol Rd E,Sarnia,ON, N7S 2E6  
Errol Russell Park,610 Devine Street,Sarnia,On,          
Germain Diamond #1,170 Sycamore Dr,Sarnia,ON,          
Germain Diamond #2,170 Sycamore Dr,Sarnia,ON,          
Germain Diamond #3,170 Sycamore Dr,Sarnia,ON,          
Germain Diamond #4,170 Sycamore Dr,Sarnia,ON,          
Germain Diamond #5,170 Sycamore Dr,Sarnia,ON,          
Great Lakes SS,275 Wellington Street,Sarnia,ON,  N7T1H1  
Lambton College,1457 London Rd,Sarnia,ON,N7S 6K4   
Northern Collegiate High School - Gym A, 940 Michigan Ave,Sarnia,ON,N7S 2B1   
Oil Springs Youth Centre,4517 Victoria St,Oil Springs,ON,N0N 1P0   
Pitch Indoor Sports,1781 London Line,Sarnia,ON,N7T7H2    
Point Edward McCrae Park,959 Front St,Point Edward,ON,N7V 1H1   
Retlaw Park,1550 Rowe Ave,Sarnia,ON,          
Rosedale Public School,1018 Indian Rd N,Sarnia,On,N7V 4C5   
Royal SCITS Academy,"275 Wellington St,",Sarnia,ON,          
St. Francois Xavier Secondary School,901 the Rapids Pkwy,Srnia,ON,N7S 6K2   
Suncor Recreation Centre,2257 Lakeshore Road,Sarnia,ON,          
Tecumseh Park,334 Russell Street,Sarnia,On,          
